hop_name,alpha_acid_min,alpha_acid_max,alpha_acid_avg,beta_acid_min,beta_acid_max,beta_acid_avg,alpha_beta_ratio_min_first,alpha_beta_ratio_min_second,alpha_beta_ratio_max_first,alpha_beta_ratio_max_second,alpha_beta_ratio_avg_first,alpha_beta_ratio_avg_second,hsi_min,hsi_max,hsi_avg,cohumulone_min,cohumulone_max,cohumulone_avg,total_oils_min,total_oils_max,total_oils_avg,myrcene_min,myrcene_max,myrcene_avg,humulene_min,humulene_max,humulene_avg,caryophyllene_min,caryophyllene_max,caryophyllene_avg,farnesene_min,farnesene_max,farnesene_avg,other_oils_min,other_oils_max,other_oils_avg
Yellow Sub Hop,6.2,7.2,6.7,nan,nan,193.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Golden Star Hop,nan,nan,5.4,nan,nan,4.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sorachi Ace Hop,11.0,16.0,13.5,6.0,8.0,7.0,1.0,1.0,3.0,1.0,2.0,1.0,28.0,0.275,nan,23.0,28.0,25.5,1.0,3.0,2.0,45.0,55.0,50.0,20.0,26.0,23.0,7.0,11.0,9.0,2.0,5.0,3.5,3.0,26.0,nan
Toyomidori Hop,11.0,13.0,12.0,5.0,6.0,5.5,2.0,1.0,3.0,1.0,2.0,1.0,37.0,0.37,nan,nan,nan,40.0,0.8,1.2,1.0,58.0,60.0,59.0,9.0,12.0,10.5,4.0,5.0,4.5,0.0,1.0,0.5,22.0,29.0,nan
Brooklyn Hop,17.5,19.5,18.5,8.0,10.0,9.0,2.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,26.0,nan,nan,1.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dr. Rudi Hop,10.0,12.0,11.0,7.0,8.5,7.8,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,36.0,39.0,37.5,1.3,1.6,1.5,28.0,30.0,29.0,33.0,34.0,33.5,9.0,11.0,10.0,0.0,1.0,0.5,24.0,30.0,nan
Green Bullet Hop,11.0,15.0,13.0,6.5,7.0,6.8,2.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,38.0,43.0,40.5,1.0,1.4,1.2,37.0,39.0,38.0,28.0,29.0,28.5,9.0,10.0,9.5,0.0,1.0,0.5,21.0,26.0,nan
HORT9909 Hop,6.0,10.0,8.0,3.0,4.0,3.5,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,27.0,29.0,28.0,nan,nan,1.9,49.0,51.0,50.0,11.0,13.0,12.0,4.0,5.0,4.5,0.0,1.0,0.5,30.0,36.0,nan
Kohatu Hop,6.0,7.0,6.5,4.0,6.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,20.0,25.0,22.5,1.0,2.0,1.5,25.0,30.0,27.5,30.0,40.0,35.0,11.0,16.0,13.5,0.0,1.0,0.5,13.0,34.0,nan
Motueka Hop,5.0,8.5,6.8,5.0,5.5,5.3,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,35.0,25.0,35.0,30.0,0.8,1.0,0.9,47.0,48.0,47.5,3.0,4.0,3.5,1.0,3.0,2.0,12.0,13.0,12.5,32.0,37.0,nan
Moutere Hop,17.5,19.5,18.5,8.0,10.0,9.0,2.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,24.0,28.0,26.0,1.5,1.9,1.7,22.0,23.0,22.5,15.0,16.0,15.5,5.0,6.0,5.5,0.0,1.0,0.5,54.0,58.0,nan
Nectaron Hop,9.5,12.0,10.8,4.5,5.0,4.8,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,26.0,28.0,27.0,1.0,1.7,1.4,59.0,65.0,62.0,10.0,20.0,15.0,4.0,5.0,4.5,0.0,1.0,0.5,9.0,27.0,nan
Nelson Sauvin Hop,10.0,13.0,11.5,5.0,8.0,6.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,20.0,25.0,22.5,0.8,1.5,1.2,20.0,45.0,32.5,25.0,37.0,31.0,6.0,11.0,8.5,0.0,1.0,0.5,6.0,49.0,nan
NZH-107 Hop,8.0,11.0,9.5,5.0,7.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,27.0,31.0,29.0,1.4,2.2,1.8,55.0,65.0,60.0,7.0,10.0,8.5,4.0,8.0,6.0,4.0,7.0,5.5,10.0,30.0,nan
Pacific Gem Hop,13.0,15.0,14.0,7.0,9.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,22.0,0.22,nan,35.0,40.0,37.5,0.8,1.6,1.2,30.0,40.0,35.0,20.0,30.0,25.0,6.0,12.0,9.0,0.0,1.0,0.5,17.0,44.0,nan
Pacific Jade Hop,12.0,14.0,13.0,7.0,8.0,7.5,2.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,23.0,25.0,24.0,1.1,1.5,1.3,33.0,34.0,33.5,32.0,33.0,32.5,10.0,11.0,10.5,0.0,1.0,0.5,21.0,25.0,nan
Pacific Sunrise Hop,12.5,14.5,13.5,5.0,7.0,6.0,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,27.0,30.0,28.5,1.5,2.5,2.0,45.0,55.0,50.0,20.0,24.0,22.0,6.0,8.0,7.0,0.0,1.0,0.5,12.0,29.0,nan
Pacifica Hop,5.0,6.0,5.5,5.0,6.0,5.5,1.0,1.0,1.0,1.0,1.0,1.0,23.0,0.231,nan,24.0,26.0,25.0,0.9,1.2,1.1,10.0,15.0,12.5,45.0,55.0,50.0,14.0,18.0,16.0,0.0,1.0,0.5,11.0,31.0,nan
Rakau Hop,9.0,12.0,10.5,5.0,6.0,5.5,2.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,23.0,25.0,24.0,1.8,2.2,2.0,55.0,57.0,56.0,16.0,17.0,16.5,5.0,6.0,5.5,4.0,5.0,4.5,15.0,20.0,nan
Riwaka Hop,4.5,6.5,5.5,4.0,5.0,4.5,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,29.0,38.0,33.5,0.8,1.5,1.2,67.0,70.0,68.5,8.0,10.0,9.0,2.0,6.0,4.0,0.0,1.0,0.5,13.0,23.0,nan
Smooth Cone Hop,7.0,9.5,8.3,3.4,5.2,4.3,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,35.0,nan,nan,31.0,0.4,1.14,0.8,54.0,56.0,55.0,20.0,22.0,21.0,5.0,7.0,6.0,0.0,1.0,0.5,14.0,21.0,nan
Southern Cross Hop,11.0,14.0,12.5,5.0,7.0,6.0,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,25.0,28.0,26.5,1.2,2.0,1.6,31.0,55.0,43.0,13.0,21.0,17.0,5.0,8.0,6.5,6.0,8.0,7.0,8.0,45.0,nan
Sticklebract Hop,12.0,15.0,13.5,6.0,8.5,7.3,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,35.0,45.0,40.0,0.75,1.8,1.3,14.0,64.0,39.0,7.0,26.0,16.5,3.0,13.0,8.0,4.0,7.0,5.5,0.0,72.0,nan
Taiheke Hop,5.0,9.0,7.0,5.0,5.5,5.3,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,33.0,40.0,36.5,1.0,1.5,1.3,50.0,60.0,55.0,10.0,20.0,15.0,5.0,10.0,7.5,0.0,5.0,2.5,5.0,35.0,nan
Wai-iti Hop,2.5,3.5,3.0,4.5,5.5,5.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,22.0,24.0,23.0,1.4,1.8,1.6,2.0,4.0,3.0,27.0,29.0,28.0,8.0,10.0,9.0,12.0,14.0,13.0,43.0,51.0,nan
Waimea Hop,14.5,19.0,16.8,7.0,9.0,8.0,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,22.0,24.0,23.0,1.8,2.3,2.1,59.0,61.0,60.0,9.0,10.0,9.5,2.0,3.0,2.5,4.0,6.0,5.0,20.0,26.0,nan
Wakatu Hop,6.5,8.5,7.5,8.0,8.5,8.3,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,28.0,30.0,29.0,0.9,1.2,1.1,35.0,36.0,35.5,16.0,17.0,16.5,8.0,9.0,8.5,6.0,7.0,6.5,31.0,35.0,nan
Junga Hop,10.0,14.0,12.0,5.0,8.0,6.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,29.0,34.0,31.5,1.5,2.6,2.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Limbus Hop,3.0,5.5,4.3,2.5,3.5,3.0,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,25.0,35.0,30.0,1.1,1.5,1.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lubelska Hop,3.0,5.0,4.0,2.5,4.0,3.3,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,22.0,28.0,25.0,0.5,1.2,0.9,22.0,35.0,28.5,30.0,40.0,35.0,6.0,11.0,8.5,10.0,14.0,12.0,0.0,32.0,nan
Magnat Hop,11.0,16.0,13.5,2.8,7.0,4.9,2.0,1.0,6.0,1.0,4.0,1.0,nan,nan,nan,21.0,25.0,23.0,1.0,2.0,1.5,30.0,59.0,44.5,18.0,20.0,19.0,7.0,8.0,7.5,0.0,1.0,0.5,12.0,45.0,nan
Marynka Hop,7.5,12.0,9.8,10.0,13.0,11.5,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,26.0,33.0,29.5,1.8,3.3,2.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pulawski Hop,8.0,11.0,9.5,3.0,4.0,3.5,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,26.0,30.0,28.0,nan,nan,2.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sybilla Hop,6.0,8.0,7.0,3.0,12.0,7.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,26.0,31.0,28.5,1.2,2.2,1.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zula Hop,8.0,14.0,11.0,3.8,7.0,5.4,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,30.0,1.1,2.0,1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Apolon Hop,10.0,12.0,11.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Atlas Hop,5.0,11.0,8.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,36.0,38.0,37.0,1.3,1.6,1.5,58.0,59.0,58.5,8.0,10.0,9.0,3.0,5.0,4.0,13.0,14.0,13.5,12.0,18.0,nan
Aurora Hop,6.5,13.0,9.8,2.7,5.5,4.1,1.0,1.0,5.0,1.0,3.0,1.0,nan,nan,28.0,20.0,26.0,23.0,0.9,1.8,1.4,20.0,25.0,22.5,20.0,25.0,22.5,6.0,9.0,7.5,5.0,10.0,7.5,31.0,49.0,nan
Bobek Hop,3.5,9.3,6.4,4.0,6.6,5.3,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,26.0,31.0,28.5,0.7,4.0,2.4,30.0,45.0,37.5,13.0,19.0,16.0,4.0,6.0,5.0,4.0,7.0,5.5,23.0,49.0,nan
Cekin Hop,6.0,8.0,7.0,2.0,3.0,2.5,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,25.0,20.0,27.0,23.5,0.65,1.5,1.1,47.0,48.0,47.5,16.0,17.0,16.5,6.0,7.0,6.5,7.0,8.0,7.5,20.0,24.0,nan
Celeia Hop,3.0,6.0,4.5,2.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,25.0,29.0,27.0,0.5,3.6,2.1,26.0,35.0,30.5,18.0,23.0,20.5,8.0,9.0,8.5,3.0,7.0,5.0,26.0,45.0,nan
Dana Hop,7.2,13.0,10.1,2.7,6.0,4.4,1.0,1.0,5.0,1.0,3.0,1.0,nan,nan,nan,22.0,31.0,26.5,0.9,1.6,1.3,35.0,53.0,44.0,20.0,27.0,23.5,4.0,8.0,6.0,6.0,9.0,7.5,3.0,35.0,nan
Styrian Cardinal Hop,8.0,15.0,11.5,3.2,4.6,3.9,2.0,1.0,5.0,1.0,3.0,1.0,nan,nan,nan,31.0,37.0,34.0,3.0,4.0,3.5,40.0,50.0,45.0,15.0,22.0,18.5,8.0,11.0,9.5,5.0,7.0,6.0,10.0,32.0,nan
Styrian Dragon Hop,6.0,11.0,8.5,7.5,8.5,8.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,23.0,24.0,23.5,1.5,2.1,1.8,58.0,63.0,60.5,22.0,33.0,27.5,12.0,16.0,14.0,0.0,1.0,0.5,0.0,8.0,nan
Styrian Eagle Hop,12.5,17.5,15.0,3.5,5.5,4.5,2.0,1.0,5.0,1.0,4.0,1.0,nan,nan,nan,20.0,23.0,21.5,2.5,4.6,3.6,52.0,60.0,56.0,0.0,2.5,1.3,4.0,7.0,5.5,6.0,10.0,8.0,20.5,38.0,nan
Styrian Fox Hop,5.7,12.0,8.9,2.1,4.0,3.1,1.0,1.0,6.0,1.0,4.0,1.0,nan,nan,nan,26.0,30.0,28.0,0.4,1.7,1.1,50.0,60.0,55.0,12.0,14.0,13.0,4.0,6.0,5.0,0.0,1.0,0.5,19.0,34.0,nan
Styrian Golding Hop,3.5,6.5,5.0,2.5,3.5,3.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,28.0,25.0,30.0,27.5,0.5,1.0,0.8,27.0,33.0,30.0,34.0,38.0,36.0,9.0,11.0,10.0,2.0,5.0,3.5,13.0,28.0,nan
Styrian Kolibri Hop,4.0,6.0,5.0,2.8,5.4,4.1,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,21.0,25.0,23.0,1.0,2.0,1.5,31.0,38.0,34.5,16.0,21.0,18.5,5.0,7.0,6.0,25.0,27.0,26.0,7.0,23.0,nan
Styrian Wolf Hop,10.0,18.5,14.3,2.1,6.0,4.1,2.0,1.0,9.0,1.0,5.0,1.0,nan,nan,nan,22.0,23.0,22.5,0.7,4.5,2.6,60.0,70.0,65.0,5.0,9.0,7.0,2.0,3.0,2.5,4.0,7.0,5.5,11.0,29.0,nan
African Queen Hop,10.0,17.0,13.5,3.9,6.2,5.1,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,22.0,30.0,26.0,0.7,1.5,1.1,20.0,29.0,24.5,21.0,30.0,25.5,10.0,17.0,13.5,5.0,7.0,6.0,17.0,44.0,nan
Southern Aroma Hop,3.6,7.3,5.5,5.4,6.0,5.7,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,19.0,25.0,22.0,0.6,0.8,0.7,17.0,28.0,22.5,22.0,23.0,22.5,13.0,15.0,14.0,0.0,1.0,0.5,33.0,48.0,nan
Southern Brewer Hop,8.0,12.0,10.0,2.5,5.0,3.8,2.0,1.0,5.0,1.0,3.0,1.0,nan,nan,nan,38.0,41.0,39.5,0.4,1.5,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Southern Dawn Hop,11.2,13.5,12.4,4.3,5.9,5.1,2.0,1.0,3.0,1.0,3.0,1.0,nan,nan,nan,31.0,33.0,32.0,nan,nan,0.6,22.0,45.0,33.5,17.0,25.0,21.0,8.0,11.0,9.5,4.0,10.0,7.0,9.0,49.0,nan
Southern Passion Hop,11.0,14.2,12.6,4.9,8.0,6.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,16.0,26.0,21.0,0.7,1.3,1.0,20.0,55.0,37.5,14.0,36.0,25.0,8.0,13.0,10.5,1.0,3.0,2.0,0.0,57.0,nan
Southern Promise Hop,9.5,14.5,12.0,3.6,5.8,4.7,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,20.0,22.0,21.0,0.7,1.1,0.9,21.0,25.0,23.0,23.0,27.0,25.0,7.0,11.0,9.0,0.0,1.0,0.5,36.0,49.0,nan
Southern Star Hop,12.0,18.6,15.3,4.0,7.5,5.8,2.0,1.0,5.0,1.0,3.0,1.0,nan,nan,nan,25.0,31.0,28.0,1.4,1.7,1.6,32.0,38.0,35.0,23.0,27.0,25.0,10.0,14.0,12.0,8.0,12.0,10.0,9.0,27.0,nan
Southern Sublime Hop,10.8,13.4,12.1,nan,nan,4.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Southern Tropic Hop,12.6,18.1,15.4,5.0,6.5,5.8,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,26.0,30.0,28.0,nan,nan,1.3,19.0,46.0,32.5,14.0,40.0,27.0,6.0,14.0,10.0,8.0,11.0,9.5,0.0,53.0,nan
XJA2/436 Hop,11.5,16.4,14.0,7.8,8.4,8.1,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,29.0,30.0,29.5,1.1,1.7,1.4,18.0,30.0,24.0,21.0,35.0,28.0,11.0,13.0,12.0,8.0,18.0,13.0,4.0,42.0,nan
Zagrava Hop,4.0,7.0,5.5,8.0,12.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,24.0,28.0,26.0,2.0,3.0,2.5,30.0,50.0,40.0,14.0,16.0,15.0,7.0,8.0,7.5,12.0,18.0,15.0,8.0,37.0,nan
Admiral Hop,13.0,16.2,14.6,4.8,6.1,5.5,2.0,1.0,3.0,1.0,3.0,1.0,85.0,0.85,nan,37.0,45.0,41.0,1.0,1.7,1.4,39.0,48.0,43.5,23.0,26.0,24.5,6.0,8.0,7.0,0.0,2.0,1.0,16.0,32.0,nan
Archer Hop,4.0,6.0,5.0,2.0,3.0,2.5,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,32.0,38.0,35.0,0.6,0.8,0.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Beata Hop,5.0,7.0,6.0,9.0,11.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,23.0,28.0,25.5,1.0,1.5,1.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Boadicea Hop,7.5,10.0,8.8,3.2,4.5,3.9,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,23.0,29.0,26.0,1.3,2.2,1.8,30.0,40.0,35.0,19.0,21.0,20.0,15.0,19.0,17.0,0.0,5.0,2.5,15.0,36.0,nan
Bramling Cross Hop,5.0,8.0,6.5,2.3,3.2,2.8,2.0,1.0,3.0,1.0,3.0,1.0,nan,nan,nan,33.0,35.0,34.0,0.7,1.2,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.0,100.0,nan
Challenger Hop,6.5,9.0,7.8,3.0,4.5,3.8,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,20.0,25.0,22.5,1.0,1.7,1.4,30.0,42.0,36.0,24.0,26.0,25.0,9.0,10.0,9.5,0.0,1.0,0.5,21.0,37.0,nan
Defender Hop,3.3,6.0,4.7,1.1,2.5,1.8,1.0,1.0,5.0,1.0,3.0,1.0,41.0,0.41,nan,23.0,32.0,27.5,0.28,0.98,0.6,30.0,32.0,31.0,34.0,36.0,35.0,13.0,15.0,14.0,3.0,4.0,3.5,13.0,20.0,nan
East Kent Goldings Hop,4.0,6.5,5.3,1.9,3.5,2.7,1.0,1.0,3.0,1.0,2.0,1.0,22.0,0.22,nan,20.0,32.0,26.0,0.4,1.0,0.7,29.0,31.0,30.0,38.0,44.0,41.0,12.0,16.0,14.0,0.0,1.0,0.5,8.0,21.0,nan
Endeavour Hop,5.0,10.6,7.8,3.8,5.3,4.6,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,30.0,36.0,33.0,1.1,1.8,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Epic Hop,3.0,5.0,4.0,1.7,2.5,2.1,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,30.0,33.0,31.5,0.4,0.8,0.6,11.0,12.0,11.5,41.0,43.0,42.0,1.0,2.0,1.5,1.0,2.0,1.5,41.0,46.0,nan
Ernest Hop,4.4,6.3,5.4,4.5,5.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,50.0,55.0,52.5,0.7,1.1,0.9,50.0,60.0,55.0,8.0,12.0,10.0,0.0,1.0,0.5,0.0,1.0,0.5,26.0,42.0,nan
First Gold Hop,5.6,10.0,7.8,2.3,4.1,3.2,1.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,29.0,35.0,32.0,0.7,1.5,1.1,24.0,28.0,26.0,20.0,24.0,22.0,6.0,7.0,6.5,2.0,4.0,3.0,37.0,48.0,nan
Flyer Hop,8.3,14.5,11.4,4.1,6.0,5.1,1.0,1.0,4.0,1.0,2.0,1.0,nan,nan,nan,26.0,35.0,30.5,nan,nan,0.6,17.0,25.0,21.0,22.0,23.0,22.5,0.0,1.0,0.5,0.0,1.0,0.5,50.0,61.0,nan
Fuggle Hop,2.4,6.1,4.3,2.1,3.5,2.8,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,25.0,32.0,28.5,0.44,1.0,0.7,15.0,25.0,20.0,30.0,40.0,35.0,11.0,15.0,13.0,5.0,8.0,6.5,12.0,39.0,nan
Godiva Hop,6.0,9.0,7.5,1.9,3.0,2.5,2.0,1.0,5.0,1.0,3.0,1.0,nan,nan,nan,25.0,29.0,27.0,0.4,0.8,0.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hallertau Taurus Hop,12.0,17.9,15.0,4.0,6.0,5.0,2.0,1.0,4.0,1.0,3.0,1.0,nan,nan,35.0,20.0,25.0,22.5,0.9,1.5,1.2,29.0,31.0,30.0,30.0,31.0,30.5,7.0,9.0,8.0,0.0,1.0,0.5,28.0,34.0,nan
Harlequin Hop,9.0,12.0,10.5,7.0,9.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,nan,nan,nan,27.0,31.0,29.0,1.0,1.6,1.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Herald Hop,9.0,13.0,11.0,4.5,5.5,5.0,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,35.0,37.0,36.0,1.0,1.9,1.5,39.0,41.0,40.0,14.0,16.0,15.0,6.0,8.0,7.0,0.0,1.0,0.5,34.0,41.0,nan
Jester Hop,7.0,9.0,8.0,4.0,6.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,nan,nan,nan,23.0,28.0,25.5,0.6,1.2,0.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
